ID,Binomial,Reference,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2186,Balaena_mysticetus,"{Angliss, 2006 #1434}",Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,,"Linnaeus, 1758",Bowhead whale,"Western Arctic stock, Alaska (aka Bering-Chukchi-Beaufort stock)",United States,United States,North America,71.32306,-165.58333,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Polar seas,Number of individuals,Estimate from ice based census counts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4765,NULL,3885,4467,7395,6573,NULL,5762,8917,5298,6928,NULL,NULL,NULL,NULL,8167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2193,Delphinapterus_leucas,"{NOAA, 1999 #1131}",Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,NULL,"(Pallas, 1776)",Beluga whale,"Eastern Chukchi Sea Stock, Alaska",United States,United States,North America,68.2025,-167.55222,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals,Counts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2233,Ursus_maritimus,"{U.S. Fish and Wildlife Service, 2002 #1085}",Mammalia,Carnivora,Ursidae,Ursus,maritimus,NULL,"Phipps, 1774",Polar bear,Alaskan Stock,United States,United States,North America,64.00028,-150.00028,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,population estimate,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4545,Pusa_hispida,"{Stirling, 2002 #848}",Mammalia,Carnivora,Phocidae,Pusa,hispida,,"(Schreber, 1775)",Ringed seal,eastern Beaufort Sea,Canada,"Canada, United States",North America,75,-141,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Seals per 100km²,Unspecified,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,15,8,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8167,Cepphus_grylle,"{Divoky, 2003 #1818}",Aves,Charadriiformes,Alcidae,Cepphus,grylle,NULL,"(Linnaeus, 1758)",Black guillemot,"Cooper Island, Alaska",United States,United States,North America,71.23778,-155.67972,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Monitoring/survey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,21,29,35,49,75,110,175,185,200,205,205,209,209,209,200,185,180,175,150,150,135,120,115,115,120,116,145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8406,Rissa_tridactyla,"{Dragoo, 2008 #1857}, Updated with {Dragoo, 2009 #2296}",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Cape Lisburne, Alaska",United States,United States,North America,68.83333,-166.16667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individual birds,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,NULL,NULL,NULL,52,59,NULL,61,55,65,91,53,68,44,82,85,98,100,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9483,Coregonus_autumnalis,"{Gallaway, 1983 #2137}",Actinopterygii,Salmoniformes,Salmonidae,Coregonus,autumnalis,NULL,"(Pallas, 1776)",Arctic cisco,Colville river delta,United States,United States,North America,70.40139,-150.66194,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,CPUE,Modelling of catch data,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,30,28,42,31,48,70,47,41,32,55,17,16,12,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9574,Boreogadus_saida,"{Griffiths, 1998 #2148}",Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,NULL,"(Lepechin, 1774)",Polar cod / Arctic cod,"Sagavanirktok Delta, Alaska",United States,United States,North America,70.18083,-148.04556,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Catch per unit effort transformed to log e  (CPUE)+1,Fyke net stations at 4 locations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.875,3.475,NULL,2.575,1.475,1.875,1.35,1.875,3.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9576,Liopsetta_glacialis,"{Griffiths, 1998 #2148}",Actinopterygii,Pleuronectiformes,Pleuronectidae,Liopsetta,glacialis,NULL,"(Pallas, 1776)",Arctic flounder,"Sagavanirktok Delta, Alaska",United States,United States,North America,70.18083,-148.04556,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Catch per unit effort transformed to log e  (CPUE)+1,Fyke net stations at 4 locations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.103,0.45,NULL,0.65,0.825,2.9,2.375,3.075,3.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9577,Eleginus_gracilis,"{Griffiths, 1998 #2148}",Actinopterygii,Gadiformes,Gadidae,Eleginus,gracilis,NULL,"(Tilesius, 1810)",Saffron cod,"Sagavanirktok Delta, Alaska",United States,United States,North America,70.18083,-148.04556,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Catch per unit effort transformed to log e  (CPUE)+1,Fyke net stations at 4 locations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1325,0.5775,NULL,0.185,0.086,0.2675,0.23,0.13,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9580,Osmerus_mordax,"{Griffiths, 1998 #2148}",Actinopterygii,Osmeriformes,Osmeridae,Osmerus,mordax,NULL,"(Mitchill, 1814)",Atlantic rainbow smelt,"Sagavanirktok Delta, Alaska",United States,United States,North America,70.18083,-148.04556,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Catch per unit effort transformed to log e  (CPUE)+1,Fyke net stations at 4 locations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.05,0.267,NULL,0.233,0.533,1.533,2.267,2.325,2.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9803,Enhydra_lutris,"{Burn, 2005 #2259}",Mammalia,Carnivora,Mustelidae,Enhydra,lutris,,"(Linnaeus, 1758)",Sea otter,"North Alaskan Peninsula, southwest (offshore)",United States,United States,North America,55.2,-163.76667,0,Marine,NULL,NULL,NULL,NULL,Arctic,North Pacific Ocean,Unknown,Estimated abundance,Arial survey (strip transects),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
