ID,Binomial,Reference,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1529,Pollachius_virens,"{International Council for the Exploration of the Sea, 2010 #675} replaced with {International Council for the Exploration of the Sea, 2014 #3590}",Actinopterygii,Gadiformes,Gadidae,Pollachius,virens,,"(Linnaeus, 1758)",Pollock / Saithe,North-East Arctic saithe (Sub-areas I and II),Norway,"Norway, Russian Federation",Europe,74.75917,30.83167,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,SSB (tonnes),"Assessed using catch-at-age data, acoustic survey and CPUE data from 1 commercial fleet",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,461852,455887,460008,455431,477825,515555,477825,490902,471654,511959,565802,554599,538208,537132,491885,398714,282943,211293,190613,172129,152512,156373,137036,162267,146679,112758,85648,72693,87553,100308,118184,114921,95225,97538,148005,196025,244507,242559,290396,306202,365492,368796,433220,418319,495836,574353,511959,523347,454521,348015,309279,271034,270493,272938,250325,NULL
1590,Alca_torda,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Alca,torda,,"Linnaeus, 1758",Razorbill,"Loppa, Norway",Norway,Norway,Europe,70.33333,21.45,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1591,Alca_torda,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Alca,torda,,"Linnaeus, 1758",Razorbill,"Hornoya, Norway",Norway,Norway,Europe,70.38333,31.15,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1592,Alca_torda,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Alca,torda,,"Linnaeus, 1758",Razorbill,"Syltefjord, Finmark, Norway",Norway,Norway,Europe,70.56306,30.30694,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1907,Uria_aalge,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Uria,aalge,NULL,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Hjelmsoy, Norway",Norway,Norway,Europe,71.06194,24.70306,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220000,NULL,180000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29000,13000,3000,12000,12000,10400,NULL,3600,NULL,NULL,NULL,NULL,NULL,NULL,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1921,Uria_aalge,"{Anker-Nilssen, 1991 #1154}",Aves,Charadriiformes,Alcidae,Uria,aalge,NULL,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Syltefjord, Finmark, Norway",Norway,Norway,Europe,70.56306,30.30694,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Rounded values from different sources,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13000,10600,1800,2200,2400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1926,Uria_lomvia,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Uria,lomvia,NULL,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Hornoya,Norway,Norway,Europe,70.38333,31.15,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,450,NULL,NULL,NULL,300,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2326,Mallotus_villosus,"{International Council for the Exploration of the Sea, 2010 #675}  updated with  {International Council for the Exploration of the Sea, 2014 #3584}",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,Barents Sea,Russian Federation,"Russian Federation, Norway, Finland",Asia,74,36,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,SSB (Thousand tonnes),Acoustic surveys in September,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,253,22,NULL,NULL,NULL,316,106,100,109,NULL,NULL,34,NULL,84,92,643,302,293,139,60,60,85,94,382,599,626,496,427,94,122,72,189,330,517,504,487,504,479,389,NULL
2365,Balaenoptera_acutorostrata,"{Øien, 2009 #3583}",Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,,"Lacépède, 1804",Minke whale,"Barentshavet, Grønlandshavet, Norskehavet og Nordsjøen",Norway,Norway,Europe,74,36,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individuals,"Population estimate calculated from surveys conducted in 1989, 1995, 1996-2001 and 2002-2007.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64422,NULL,NULL,NULL,NULL,NULL,111580,NULL,NULL,NULL,79461,NULL,NULL,NULL,NULL,NULL,78500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2499,Calidris_alpina,"{Strann, 1996 #1315}",Aves,Charadriiformes,Scolopacidae,Calidris,alpina,,"(Linnaeus, 1758)",Dunlin,"Slettnes,Gamvik, Finnmark",Norway,Norway,Europe,71.08333,28.21667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of hatching couples in the surveillance area,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,15,16,15,17,16,18,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
