ID,Binomial,Reference,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1536,Reinhardtius_hippoglossoides,"{Myers,  #459}",Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides,NULL,"(Walbaum, 1792)",Greenland halibut,NW Atlantic,Greenland,"Greenland, Canada",Europe,65,-55,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Spawning stock biomass (Thousand  tonnes),SPA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.3,94.5,129.6,170.1,184.4,230.2,232.6,221.3,225.6,221.4,209.5,153.6,143.8,124.7,133.9,134.6,148.9,142.1,167,185.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4320,Monodon_monoceros,"{COSEWIC, 2004 #721}",Mammalia,Cetacea,Monodontidae,Monodon,monoceros,NULL,"Linnaeus, 1758",Narwhal,"Hudson Bay, Canada",Canada,Canada,North America,60,-88,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Polar seas,Individuals,Aerial survey - population estimate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1780,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6090,Mallotus_villosus,"{Bowen, 1985 #1622} sourced from {NERC Centre for Population Biology, 1999 #524}",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,NAFO 0 to 4,Canada,Canada,North America,60,-70,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Tonnes (x10^3),Unknown,NULL,NULL,NULL,NULL,NULL,15,15,10,10,5,5,5,5,5,5,5,5,5,5,5,5,10,75,175,185,360,355,225,85,30,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8076,Ursus_maritimus,"{Aars, 2005 #1802}",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,Western Hudson Bay population,Canada,Canada,North America,63.16667,-88.5,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Population size,Capture-recapture data modelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1215,1188,1294,1068,1037,970,1233,1028,1237,1039,1056,971,1143,876,1144,968,967,872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8219,Stercorarius_longicaudus,"{Cadieux, 2008 #1829}",Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,NULL,"Vieillot, 1819",Long-tailed jaeger / Long-tailed skua,"Southern Plain, Sirmilik National Park, Bylot Island, (Qarlikturvik Valley /main goose nesting colony)",Canada,Canada,North America,73,-80,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of nests,Survey area for nests,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,3,0,9,9,0,0,23,18,7,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8225,Clangula_hyemalis,"{Cadieux, 2008 #1829}",Aves,Anseriformes,Anatidae,Clangula,hyemalis,,"(Linnaeus, 1758)",Long-tailed duck,"Southern Plain, Sirmilik National Park, Bylot Island, (Qarlikturvik Valley/main goose nesting colony)",Canada,Canada,North America,73,-80,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of nests,Survey area for nests,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,5,1,NULL,NULL,2,4,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12225,Pagophila_eburnea,"{Gilchrist, 2005 #3175}",Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,Ellesmere Island,Canada,Canada,North America,77.44694,-80.822296,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individual ivory gulls,All surveys conducted by helicopter counting all individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12449,Balaena_mysticetus,"{Harwood, 2010 #3239}",Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,,"Linnaeus, 1758",Bowhead whale,Canadian Beaufort Sea,Canada,Canada,North America,70.005567,-134.78714,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number per 100km2,Systematic strip-transect aerial surveys on whale observations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.81,2.62,0.66,NULL,NULL,NULL,NULL,NULL,NULL
13097,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Quunnguq Lake, Western Victoria Island",Canada,Canada,North America,69.946719,-112.144995,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39.2,6.2,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8,3.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13098,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Kagloryuak River Valley, Western Victoria Island",Canada,Canada,North America,70.275612,-110.738745,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.5,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
