Binomial	ID	year	popvalue
Mallotus_villosus	6090	1955	15
Mallotus_villosus	6090	1956	15
Mallotus_villosus	6090	1957	10
Mallotus_villosus	6090	1958	10
Mallotus_villosus	6090	1959	5
Mallotus_villosus	6090	1960	5
Mallotus_villosus	6090	1961	5
Mallotus_villosus	6090	1962	5
Mallotus_villosus	6090	1963	5
Mallotus_villosus	6090	1964	5
Mallotus_villosus	6090	1965	5
Mallotus_villosus	6090	1966	5
Mallotus_villosus	6090	1967	5
Mallotus_villosus	6090	1968	5
Mallotus_villosus	6090	1969	5
Mallotus_villosus	6090	1970	5
Mallotus_villosus	6090	1971	10
Mallotus_villosus	6090	1972	75
Ursus_maritimus	8084	1972	354.81
Mallotus_villosus	6090	1973	175
Ursus_maritimus	8084	1973	714.96
Mallotus_villosus	6090	1974	185
Ursus_maritimus	8084	1974	691.45
Mallotus_villosus	6090	1975	360
Ursus_maritimus	8084	1975	1220.17
Mallotus_villosus	6090	1976	355
Ursus_maritimus	8084	1976	1220.08
Mallotus_villosus	6090	1977	225
Ursus_maritimus	8084	1977	1001.07
Mallotus_villosus	6090	1978	85
Ursus_maritimus	8084	1978	901.17
Mallotus_villosus	6090	1979	30
Ursus_maritimus	8084	1979	1391.03
Mallotus_villosus	6090	1980	25
Pusa_hispida	4545	1982	42
Monodon_monoceros	4320	1984	1355
Pusa_hispida	4545	1984	15
Pusa_hispida	4545	1985	8
Ursus_maritimus	8084	1985	860.77
Pusa_hispida	4545	1986	20
Ursus_maritimus	8084	1986	836.88
Ursus_maritimus	8084	1987	902.98
Ursus_maritimus	8084	1989	366.82
Ursus_maritimus	8084	1991	255.55
Ursus_maritimus	8084	1992	184.03
Ursus_maritimus	8084	1993	425.11
Ursus_maritimus	8084	1994	257.5
Monodon_monoceros	4320	2000	1780
Ursus_maritimus	8084	2000	786.76
Ursus_maritimus	8084	2003	1302.53
Ursus_maritimus	8084	2004	1093.06
Ursus_maritimus	8084	2005	1229.84
Balaena_mysticetus	12449	2007	1.81
Balaena_mysticetus	12449	2008	2.62
Balaena_mysticetus	12449	2009	0.66
