Binomial	ID	year	popvalue
Balaenoptera_physalus	1945	1970	7043
Uria_lomvia	1927	1974	30900
Balaenoptera_physalus	1945	1985	7174
Clangula_hyemalis	8095	1988	0
Stercorarius_longicaudus	8101	1988	0
Clangula_hyemalis	8095	1989	0
Stercorarius_longicaudus	8101	1989	8
Clangula_hyemalis	8095	1990	0
Stercorarius_longicaudus	8101	1990	13
Clangula_hyemalis	8095	1991	0
Stercorarius_longicaudus	8101	1991	0
Clangula_hyemalis	8095	1992	0
Stercorarius_longicaudus	8101	1992	0
Clangula_hyemalis	8095	1993	0
Stercorarius_longicaudus	8101	1993	0
Clangula_hyemalis	8095	1994	1
Stercorarius_longicaudus	8101	1994	13
Uria_lomvia	1927	1995	14470
Clangula_hyemalis	8095	1995	1
Stercorarius_longicaudus	8101	1995	3
Clangula_hyemalis	8095	1996	1
Stercorarius_longicaudus	8101	1996	5
Pagophila_eburnea	8111	1996	14000
Somateria_mollissima	8236	1996	1.5
Clangula_hyemalis	8238	1996	5
Phalaropus_lobatus	8244	1996	0.5
Phalaropus_fulicarius	8245	1996	0
Clangula_hyemalis	8095	1997	1
Stercorarius_longicaudus	8101	1997	4
Somateria_mollissima	8236	1997	0
Clangula_hyemalis	8238	1997	5
Phalaropus_lobatus	8244	1997	1
Phalaropus_fulicarius	8245	1997	0
Clangula_hyemalis	8095	1998	2
Stercorarius_longicaudus	8101	1998	14
Somateria_mollissima	8236	1998	0
Clangula_hyemalis	8238	1998	6.5
Phalaropus_lobatus	8244	1998	1.5
Phalaropus_fulicarius	8245	1998	0.5
Clangula_hyemalis	8095	1999	1
Stercorarius_longicaudus	8101	1999	5
Somateria_mollissima	8236	1999	0
Clangula_hyemalis	8238	1999	7.5
Phalaropus_lobatus	8244	1999	1.5
Phalaropus_fulicarius	8245	1999	0
Clangula_hyemalis	8095	2000	1
Stercorarius_longicaudus	8101	2000	0
Somateria_mollissima	8236	2000	1
Clangula_hyemalis	8238	2000	6
Phalaropus_lobatus	8244	2000	1.5
Phalaropus_fulicarius	8245	2000	0
Clangula_hyemalis	8095	2001	1
Stercorarius_longicaudus	8101	2001	2
Somateria_mollissima	8236	2001	1
Clangula_hyemalis	8238	2001	6
Phalaropus_lobatus	8244	2001	2
Phalaropus_fulicarius	8245	2001	1
Clangula_hyemalis	8095	2002	1
Stercorarius_longicaudus	8101	2002	0
Somateria_mollissima	8236	2002	0
Clangula_hyemalis	8238	2002	6.5
Phalaropus_lobatus	8244	2002	1.5
Phalaropus_fulicarius	8245	2002	0
Clangula_hyemalis	8095	2003	0
Stercorarius_longicaudus	8101	2003	0
Somateria_mollissima	8236	2003	0
Clangula_hyemalis	8238	2003	8
Phalaropus_lobatus	8244	2003	1.5
Phalaropus_fulicarius	8245	2003	0
Clangula_hyemalis	8095	2004	1
Stercorarius_longicaudus	8101	2004	11
Somateria_mollissima	8236	2004	1
Clangula_hyemalis	8238	2004	6
Phalaropus_lobatus	8244	2004	1
Phalaropus_fulicarius	8245	2004	0
Clangula_hyemalis	8095	2005	0
Stercorarius_longicaudus	8101	2005	5
Somateria_mollissima	8236	2005	0
Clangula_hyemalis	8238	2005	6
Phalaropus_lobatus	8244	2005	1
Phalaropus_fulicarius	8245	2005	1
Clangula_hyemalis	8095	2006	0
Stercorarius_longicaudus	8101	2006	6
Somateria_mollissima	8236	2006	0
Clangula_hyemalis	8238	2006	5.5
Phalaropus_lobatus	8244	2006	2
Phalaropus_fulicarius	8245	2006	6
Clangula_hyemalis	8095	2007	1
Stercorarius_longicaudus	8101	2007	0
Somateria_mollissima	8236	2007	0
Clangula_hyemalis	8238	2007	5.5
Phalaropus_lobatus	8244	2007	0.5
Phalaropus_fulicarius	8245	2007	0
Pagophila_eburnea	8111	2008	9750
Somateria_mollissima	8236	2008	0
Clangula_hyemalis	8238	2008	7.5
Phalaropus_lobatus	8244	2008	1.5
Phalaropus_fulicarius	8245	2008	1
