Binomial	ID	year	popvalue
Pollachius_virens	1529	1960	461852
Pollachius_virens	1529	1961	455887
Pollachius_virens	1529	1962	460008
Pollachius_virens	1529	1963	455431
Pollachius_virens	1529	1964	477825
Pollachius_virens	1529	1965	515555
Pollachius_virens	1529	1966	477825
Pollachius_virens	1529	1967	490902
Pollachius_virens	1529	1968	471654
Pollachius_virens	1529	1969	511959
Pollachius_virens	1529	1970	565802
Pollachius_virens	1529	1971	554599
Pollachius_virens	1529	1972	538208
Pollachius_virens	1529	1973	537132
Pollachius_virens	1529	1974	491885
Pollachius_virens	1529	1975	398714
Pollachius_virens	1529	1976	282943
Pollachius_virens	1529	1977	211293
Mallotus_villosus	1471	1978	6e+05
Pollachius_virens	1529	1978	190613
Mallotus_villosus	1471	1979	6e+05
Pollachius_virens	1529	1979	172129
Mallotus_villosus	1471	1980	3e+05
Pollachius_virens	1529	1980	152512
Mallotus_villosus	1471	1981	170000
Pollachius_virens	1529	1981	156373
Mallotus_villosus	1471	1982	140000
Pollachius_virens	1529	1982	137036
Mallotus_villosus	1471	1983	260000
Pollachius_virens	1529	1983	162267
Mallotus_villosus	1471	1984	440000
Pollachius_virens	1529	1984	146679
Mallotus_villosus	1471	1985	460000
Pollachius_virens	1529	1985	112758
Mallotus_villosus	1471	1986	460000
Pollachius_virens	1529	1986	85648
Mallotus_villosus	1471	1987	420000
Pollachius_virens	1529	1987	72693
Mallotus_villosus	1471	1988	4e+05
Pollachius_virens	1529	1988	87553
Mallotus_villosus	1471	1989	440000
Pollachius_virens	1529	1989	100308
Mallotus_villosus	1471	1990	115000
Pollachius_virens	1529	1990	118184
Mallotus_villosus	1471	1991	330000
Pollachius_virens	1529	1991	114921
Mallotus_villosus	1471	1992	475000
Pollachius_virens	1529	1992	95225
Mallotus_villosus	1471	1993	499000
Pollachius_virens	1529	1993	97538
Mallotus_villosus	1471	1994	460000
Pollachius_virens	1529	1994	148005
Mallotus_villosus	1471	1995	420000
Pollachius_virens	1529	1995	196025
Mallotus_villosus	1471	1996	830000
Pollachius_virens	1529	1996	244507
Mallotus_villosus	1471	1997	430000
Pollachius_virens	1529	1997	242559
Mallotus_villosus	1471	1998	492000
Pollachius_virens	1529	1998	290396
Mallotus_villosus	1471	1999	5e+05
Pollachius_virens	1529	1999	306202
Mallotus_villosus	1471	2000	650000
Pollachius_virens	1529	2000	365492
Mallotus_villosus	1471	2001	450000
Pollachius_virens	1529	2001	368796
Mallotus_villosus	1471	2002	475000
Pollachius_virens	1529	2002	433220
Mallotus_villosus	1471	2003	410000
Pollachius_virens	1529	2003	418319
Mallotus_villosus	1471	2004	535000
Pollachius_virens	1529	2004	495836
Mallotus_villosus	1471	2005	602000
Pollachius_virens	1529	2005	574353
Mallotus_villosus	1471	2006	4e+05
Pollachius_virens	1529	2006	511959
Mallotus_villosus	1471	2007	410000
Pollachius_virens	1529	2007	523347
Mallotus_villosus	1471	2008	406000
Pollachius_virens	1529	2008	454521
Mallotus_villosus	1471	2009	328000
Pollachius_virens	1529	2009	348015
Pollachius_virens	1529	2010	309279
Pollachius_virens	1529	2011	271034
Pollachius_virens	1529	2012	270493
Pollachius_virens	1529	2013	272938
Pollachius_virens	1529	2014	250325
