id,Data source citation,Class,Order,Family,Genus,Species,Sub species,Authority,Common Name,Location of population,Country list,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1529, International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2014). ICES advice for fish stocks (Saithe in Subareas I and II - Northeast Arctic). ICES Advice 2014.,Actinopterygii,Gadiformes,Gadidae,Pollachius,virens,,"(Linnaeus, 1758)",Pollock / Saithe,North-East Arctic saithe (Sub-areas I and II),"Norway, Russian Federation",Europe,74.75917,30.83167,FALSE,Marine,Unknown,Arctic,Yes,No,No,SSB (tonnes),Assessed using catch-at-age data,No,565802,554599,538208,537132,491885,398714,282943,211293,190613,172129,152512,156373,137036,162267,146679,112758,85648,72693,87553,100308,118184,114921,95225,97538,148005,196025,244507,242559,290396,306202,365492,368796,433220,418319,495836,574353,511959,523347,454521,348015,309279,271034,270493,272938,250325
1590," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Alca,torda,,"Linnaeus, 1758",Razorbill,"Loppa, Norway",Norway,Europe,70.33333,21.45,TRUE,Marine,Unknown,Arctic,Yes,No,No,pairs,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,
1591," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Alca,torda,,"Linnaeus, 1758",Razorbill,"Hornoya, Norway",Norway,Europe,70.38333,31.15,TRUE,Marine,Unknown,Arctic,Yes,No,No,pairs,Unknown,No,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,
1592," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Alca,torda,,"Linnaeus, 1758",Razorbill,"Syltefjord, Finmark, Norway",Norway,Europe,70.56306,30.30694,TRUE,Marine,Unknown,Arctic,Yes,No,No,pairs,Unknown,No,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800," Pihl, S., Ed. (1997). European Species Action Plan: Steller’s Eider, Polysticta stelleri. European Union Action Plans for 8 Priority Birds Species., European Union and Birdlife International.",Aves,Anseriformes,Anatidae,Polysticta,stelleri,,"(Pallas, 1769)",Steller's eider,"Varangerfjord, Finnmark county",Norway,Europe,70,30,FALSE,Marine,Unknown,Arctic,Yes,No,No,Numbers wintering,Unknown,No,,,,,,,,,,,,,,,,12500,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,
1907," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Uria,aalge,,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Hjelmsoy, Norway",Norway,Europe,71.06194,24.70306,TRUE,Marine,Unknown,Arctic,Yes,No,No,individuals;,Unknown,No,,,,,140000,,,,,,,,,,,29000,13000,3000,12000,12000,10400,,3600,,,,,,,5000,,,,,,,,,,,,,,,
1908," Anker-Nilssen, T. and R. T. Barrett (1991). Status of seabirds in northern Norway."" British Birds 84(8): 329-341.""",Aves,Charadriiformes,Alcidae,Uria,aalge,,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Hornoy, Norway",Norway,Europe,70.38333,31.15,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Rounded values from different sources,No,,,,,500,,,,,,4100,,,5200,,5000,,1100,1000,1300,1400,,1500,,,,,,,,,,,,,,,,,,,,,,
1921," Anker-Nilssen, T. and R. T. Barrett (1991). Status of seabirds in northern Norway."" British Birds 84(8): 329-341.""",Aves,Charadriiformes,Alcidae,Uria,aalge,,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Syltefjord, Finmark, Norway",Norway,Europe,70.56306,30.30694,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Rounded values from different sources,No,,,,,9000,,,,,,,,,,,13000,10600,1800,2200,2400,,,,,,,,,,,,,,,,,,,,,,,,,
1926," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Hornoya,Norway,Europe,70.38333,31.15,TRUE,Marine,Unknown,Arctic,Yes,No,No,individuals;,Unknown,No,,,,,,,,,,,,,,450,,,,300,,,,,500,,,,600,,,,,,,,,,,,,,,,,,
2326," International Council for the Exploration of the Sea (2010). ICES advice on fish stocks. |  International Council for the Exploration of the Sea (2014). Capelin in Subareas I and II, excluding Division IIa west of 5°W (Barents Sea capelin). ICES Advice, Book 3.",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,Barents Sea,"Russian Federation, Norway, Finland",Asia,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,SSB (Thousand tonnes),Acoustic surveys in September,No,,,,33,,,253,22,,,,316,106,100,109,,,34,,84,92,643,302,293,139,60,60,85,94,382,599,626,496,427,94,122,72,189,330,517,504,487,504,479,389
2365,"Øien, N. (2009). Vågehvalen. Økosystem Barentshavet, Havets Ressurser og Miljø 1.4.3: 40-42.",Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,,"Lacépède, 1804",Minke whale,"Barentshavet, Grønlandshavet, Norskehavet og Nordsjøen",Norway,Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Individuals,Population estimate calculated from surveys conducted in 1989,No,,,,,,,,,,,,,,,,,,,,,,64422,,,,,,111580,,,,79461,,,,,,78500,,,,,,,
2499," Strann, K.-B. (1996). Fuglefaunaen på Slettnes, Gamvik kommune 1989-1996. Totalkartlegging av fuglefaunaen og artsrettet overvåking av hekkende vadefugl og tyvjo. (Mapping and start of a monitoring scheme of breeding waders (Charidrii) and Arctic Skua Stercorarius parasiticus). NINA Oppdragsmelding 447, NINA: 1-19.",Aves,Charadriiformes,Scolopacidae,Calidris,alpina,,"(Linnaeus, 1758)",Dunlin,"Slettnes,Gamvik, Finnmark",Norway,Europe,71.08333,28.21667,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of hatching couples in the surveillance area,Unknown,No,,,,,,,,,,,,,,,,,,,,18,15,16,15,17,16,18,16,,,,,,,,,,,,,,,,,,
2519," Strann, K.-B. (1996). Fuglefaunaen på Slettnes, Gamvik kommune 1989-1996. Totalkartlegging av fuglefaunaen og artsrettet overvåking av hekkende vadefugl og tyvjo. (Mapping and start of a monitoring scheme of breeding waders (Charidrii) and Arctic Skua Stercorarius parasiticus). NINA Oppdragsmelding 447, NINA: 1-19.",Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,,"(Linnaeus, 1758)",Arctic jaeger / Parasitic jaeger / Arctic skua,"Slettnes,Gamvik, Finnmark",Norway,Europe,71.08333,28.21667,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of hatching couples in the surveillance area,Unknown,No,,,,,,,,,,,,,,,,,,,,42,21,36,39,42,47,49,46,,,,,,,,,,,,,,,,,,
2520," Günther, M. (2003). Vannfugltellinger i Pasvik naturreservat. Svanhovd Miljøsenter, Planteforsk – Norsk institutt for planteforskning.| Günther, M. (2006). Ti år med vannfugltellinger i Pasvik naturreservat. Bioforsk Rapport. 1.",Aves,Charadriiformes,Laridae,Sterna,paradisaea,,"Pontoppidan, 1763",Arctic tern,"Pasvik naturreservat, Sør-Varanger, Finnmark",Norway,Europe,69.14694,29.21528,TRUE,Marine,Unknown,Arctic,Yes,No,No,Maximum observed during spring/autumn,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,200,52,145,76,43,106,43,70,56,101,,,,,,,,,
2528,"Michalsen, K. (2004). Havets ressurser 2004. Fisken og havet, særnr. 1-2004, Havforskningsinstituttet.| Stiansen, J. E. and A. A. Filin (2008). Joint PINRO/IMR Report on the State of the Barents Sea Ecosystem in 2007, with Expected Situation and Considerations for Management. IMR-PINRO Joint Report Series 2008(1). Bergen, Norway, Institute of Marine Research: 185 pp.| McBride, M. M., et al. (2014). IMR/PINRO update of the “Joint Norwegian-Russian environmental status report on the Barents Sea Ecosystem” giving the current situation for climate, phytoplankton, zooplankton, fish, and fisheries during 2012-13. IMR/PINRO Joint Report Series 2014(1).",Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,,"(Lepechin, 1774)",Polar cod / Arctic cod,Barentshavet,Norway,Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population estimate (thousand tonnes),Acoustic survey,No,,,,,,,,,,,,,,,,,308.8,382.8,86,207.8,127.3,381.5,594.9,609.7,540.5,426.2,487.4,400.7,839.5,1141.9,1347.8,1869.6,1377.2,280.2,1150,1730,1910,1220,1219.6,891.9,1432.4,861.5,324.3,483.1,
2532," Michalsen, K. (2004). Havets ressurser 2004. Fisken og havet, særnr. 1-2004, Havforskningsinstituttet.| International Council for the Exploration of the Sea (2014). ICES advice for fish stocks (Cod in Subareas I and II - Northeast Arctic Cod). ICES Advice 2014.",Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,,"Linnaeus, 1758",Atlantic cod / Cod,Barentshavet,"Norway, Russian Federation",Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population estimate,Total biomass based on catch-at-age data using CPUE series.,No,2057698,1610969,1621485,2401955,2236387,2037430,1931396,1950748,1576565,1114380,863861,983656,750868,738666,817561,956772,1292252,1120019,913053,891080,963046,1560102,1909707,2355498,2148691,1814760,1700706,1525878,1220825,1097084,1107866,1393393,1593491,1814674,1590090,1588486,1552659,1918298,2616901,3223175,3454311,3559490,3545400,3672119,
2533," Michalsen, K. (2004). Havets ressurser 2004. Fisken og havet, særnr. 1-2004, Havforskningsinstituttet.",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,Barentshavet,"Norway, Russian Federation",Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population estimate,Unknown,No,,,,5810,6624,8735,6792,5461,5888,5562,6969,4287,3750,4230,2864,822,115,100,427,872,5834,7096,5150,796,199,193,502,909,2056,2775,4273,3630,2210,533,,,,,,,,,,,
2534,"Michalsen, K. (2004). Havets ressurser 2004. Fisken og havet, særnr. 1-2004, Havforskningsinstituttet.",Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,,"(Linnaeus, 1758)",Haddock,Barentshavet,"Norway, Russian Federation",Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population estimate,Unknown,No,309.815,377.234,873.771,840.583,708.146,525.492,295.144,239.061,261.537,321.622,259.331,194.309,121.501,64.424,53.078,138.577,285.191,241.716,162.015,123.081,121.977,155.317,232.036,459.304,540.693,491.478,422.388,307.995,197.235,190.4,167.265,257.664,307.72,398,414,,,,,,,,,,
2545," Lorentsen, S. H. and S. Christensen-Dalsgaard (2009). The national monitoring programme for seabirds. Results up to and including 2008. NINA Oppdragsmelding 852: 58pp.",Aves,Charadriiformes,Alcidae,Alca,torda,,"Linnaeus, 1758",Razorbill,"Hjelmsøy, Måsøy, Finnmark",Norway,Europe,70.91667,24.68333,FALSE,Marine,Unknown,Arctic,Yes,No,No,Percentage change in relation to mean for all years,Internationally recommended methods (in Norwegian),No,,,,,,,,,,,,,,,,,,,,,,,,,,,138.9394,144.7422,167.8847,174.0042,185.0182,108.1396,97.6248,49.1943,85.0329,60.0541,40.7126,40.0927,12.4918,,,,,,
2555," Lorentsen, S. H. and S. Christensen-Dalsgaard (2009). The national monitoring programme for seabirds. Results up to and including 2008. NINA Oppdragsmelding 852: 58pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,"Hornøy, Vardø, Finnmark",Norway,Europe,70.38333,31.15,TRUE,Marine,Unknown,Arctic,Yes,No,No,Population in % of mean,Apparently occupied nests,No,,,,,,,,,,,59.3092,72.2841,73.7867,73.7792,,77.563,,76.8622,86.4949,,100.2427,98.7627,88.0049,92.8018,93.3422,90.8834,99.2953,103.7842,100.1586,95.2423,112.3664,115.7238,125.6902,66.9824,73.1825,96.0299,74.2559,77.3834,93.2043,,,,,,
