id,Data source citation,Class,Order,Family,Genus,Species,Sub species,Authority,Common Name,Location of population,Country list,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1536," Myers, R. Ransom Myers' Stock Recruitment Database.",Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides,,"(Walbaum, 1792)",Greenland halibut,NW Atlantic,"Greenland, Canada",Europe,65,-55,FALSE,Marine,Unknown,Arctic,Yes,No,No,Spawning stock biomass (Thousand  tonnes),SPA,No,94.5,129.6,170.1,184.4,230.2,232.6,221.3,225.6,221.4,209.5,153.6,143.8,124.7,133.9,134.6,148.9,142.1,167,185.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,"Environment Canada (2015). North American Breeding Bird Survey - Canadian Trends Website."" Data-version 2014. from http://www.ec.gc.ca/ron-bbs/P001/A001/?lang=e.""",Aves,Charadriiformes,Laridae,Larus,californicus,,"Lawrence, 1854",California gull,Canada,Canada,North America,60,-96,FALSE,Marine,Unknown,Arctic,Yes,No,No,Annual index of population change,Annual road count - breeding birds,No,3.22,3.26,3.17,3.21,3.14,3.16,3.22,3.15,3.1,3.09,3.1,3.21,3.11,3.14,3.31,3.24,3.3,3.27,3.28,3.3,3.3,3.34,3.35,3.31,3.33,3.49,3.55,3.48,3.32,3.45,3.55,3.45,3.63,3.66,3.74,3.81,3.9,3.89,4.06,3.87,4.07,4.17,4.19,4.24,4.38
4319," COSEWIC (2004). COSEWIC assessment and update status report in the beluga whale Delphinapterus leucas in Canada. Ottawa, Committee on the Status of Endangered Wildlife in Canada: ix - 79.",Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,,"(Pallas, 1776)",Beluga whale,"Eastern Hudson Bay, Canada",Canada,North America,60,-82,FALSE,Marine,Unknown,Arctic,Yes,No,No,Individuals (estimated),Abundance estimate (possibly aerial survey),No,,,,,,,,,,,,,,,,3849,,,,,,,,2137,,,,,,,,2453,,,,,,,,,,,,,
4320," COSEWIC (2004). COSEWIC assessment and update status report on the narwhal Monodon monoceros in Canada. Ottawa, Committee on the Status of Endangered Wildlife in Canada: vii + 50.",Mammalia,Cetacea,Monodontidae,Monodon,monoceros,,"Linnaeus, 1758",Narwhal,"Hudson Bay, Canada",Canada,North America,60,-88,FALSE,Marine,Polar seas,Arctic,Yes,No,No,Individuals,Aerial survey - population estimate,No,,,,,,,,,,,,,,,1355,,,,,,,,,,,,,,,,1780,,,,,,,,,,,,,,
4544," Stirling, I., N. J. Lunn, et al. (1999). Long-term trends in the population ecology of Polar bears in western Hudson Bay in relation to climatic change."" Arctic 52(3): 294-306.""",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,Western Hudson Bay,Canada,North America,63.16667,-88.5,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population size,Unspecified,No,,,,,,,,,,,,500,850,900,1275,1500,975,1050,1200,1275,1050,1000,975,1150,1100,1275,1125,1250,,,,,,,,,,,,,,,,,
4559," DFO (2005). Recovery potential assessment of Cumberland sound, Ungava bay, Eastern Hudson Bay amd St. Lawrence beluga populations (Delphinapterus leucas). Sci. Advis. Rep. 2005/036. D. C. S. A. Sec., Fisheries and Oceans Canada.",Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,,"(Pallas, 1776)",Beluga whale,Eastern Hudson Bay population,Canada,North America,56.90167,-78.28194,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population size,Aerial survey corrected by population model,No,,,,,,,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,3100,,,,,,,,,,
6090," Bowen, W. D. (1985). Harp Seal Feeding and Interactions with Commercial Fisheries in the North-west Atlantic. Marine Mammals and Fisheries. J. R. Beddington, Beverton, J.H. & Lavigne, D.M.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,NAFO 0 to 4,Canada,North America,60,-70,FALSE,Marine,Unknown,Arctic,Yes,No,No,Tonnes (x10^3),Unknown,No,5,10,75,175,185,360,355,225,85,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8076," Aars, J., N. J. Lunn, et al. (2005). Polar Bears: Proceedings of the 14th Working Meeting of the IUCN/SSC Polar Bear Specialist Group, Seattle, Washington, USA, IUCN, Gland, Switzerland and Cambridge, UK.",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,Western Hudson Bay population,Canada,North America,63.16667,-88.5,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population size,Capture-recapture data modelled,No,,,,,,,,,,,,,,,,,,1215,1188,1294,1068,1037,970,1233,1028,1237,1039,1056,971,1143,876,1144,968,967,872,,,,,,,,,,
8081," Obbard, M. E., T. L. McDonald, et al. (2007). Polar Bear Population Status in Southern Hudson Bay, Canada. U.S. Department of the Interior, U.S. Geological Survey, Reston, Virginia: 2007.",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,Southern Hudson bay population,Canada,North America,56.42278,-83.6375,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of bears,Estimates during intensive capture years,No,,,,,,,,,,,,,,,,580,710,,,,,,,,,,,,,,,,,680,695,675,,,,,,,,,
8111, CAFF (2008). CAFFs Circumpolar seabird group- Ivory Gull. CAFF Technical report. 18.,Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,"Various in Canada, Greenland, Russia, Norway (midpoint latitude below)","Russian Federation, Greenland, Norway, Canada",Asia,78,-24,FALSE,Marine,Unknown,Arctic,Yes,No,No,Pairs of birds,unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,9750,,,,,,
