id,Data source citation,Class,Order,Family,Genus,Species,Sub species,Authority,Common Name,Location of population,Country list,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1469," Myers, R. Ransom Myers' Stock Recruitment Database.",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,Barents sea,Russian Federation,Asia,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Spawning stock biomass (thousand tonnes),RV,No,,,,1343,389,95,1104,919,434,164,21,1677,507,25,150,69,8,16,13,141,187,1540,945,424,104,55,105,,,,,,,,,,,,,,,,,,
1529, International Council for the Exploration of the Sea (2010). ICES advice on fish stocks.| International Council for the Exploration of the Sea (2014). ICES advice for fish stocks (Saithe in Subareas I and II - Northeast Arctic). ICES Advice 2014.,Actinopterygii,Gadiformes,Gadidae,Pollachius,virens,,"(Linnaeus, 1758)",Pollock / Saithe,North-East Arctic saithe (Sub-areas I and II),"Norway, Russian Federation",Europe,74.75917,30.83167,FALSE,Marine,Unknown,Arctic,Yes,No,No,SSB (tonnes),Assessed using catch-at-age data,No,565802,554599,538208,537132,491885,398714,282943,211293,190613,172129,152512,156373,137036,162267,146679,112758,85648,72693,87553,100308,118184,114921,95225,97538,148005,196025,244507,242559,290396,306202,365492,368796,433220,418319,495836,574353,511959,523347,454521,348015,309279,271034,270493,272938,250325
1656,"Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,"Aynov Island, Murmansk, Russia",Russian Federation,Asia,69.83278,31.60778,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,2500,3000,3000,3000,2500,2500,3000,2500,2500,2300,3200,3000,3000,3100,3100,2400,2300,2100,2200,1400,,,,,,,,,,,,,,,,,,,,,,,,,
1695," Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Laridae,Larus,smithsonianus,,"Coues, 1862",Arctic herring gull,"Seven islands, Murmansk",Russian Federation,Asia,68.8,37.43333,TRUE,Marine,Unknown,Arctic,Yes,No,No,indiv,Unknown,No,,,,,,,,,,,,3800,2000,2200,2100,2080,1300,1500,1280,2200,1500,2000,1100,1300,,,,,,,,,,,,,,,,,,,,,
1706," Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Laridae,Larus,canus,,"Linnaeus, 1758",Mew gull,"Bolshoi Ainov, Murmansk",Russian Federation,Asia,69.83278,31.60778,TRUE,Marine,Unknown,Arctic,Yes,No,No,indiv,Unknown,No,8000,8000,8000,8000,9500,7500,8500,8500,8500,7500,6500,6300,6000,6800,6600,6600,6000,2800,3000,4000,,,,,,,,,,,,,,,,,,,,,,,,,
1709," Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Laridae,Larus,canus,,"Linnaeus, 1758",Mew gull,"Seven Islands, Murmansk",Russian Federation,Asia,68.8,37.43333,TRUE,Marine,Unknown,Arctic,Yes,No,No,indiv,Unknown,No,430,,,,,200,220,,100,80,50,80,80,130,130,150,110,90,150,130,120,110,140,90,,,,,,,,,,,,,,,,,,,,,
1716," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Larus,hyperboreus,,"Gunnerus, 1767",Glaucous gull,Vaygach Island,Russian Federation,Asia,70.01778,59.4475,TRUE,Marine,Unknown,Arctic,Yes,No,No,Unknown,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,
1758," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,Franz Josef Land,Russian Federation,Asia,81,55,FALSE,Marine,Unknown,Arctic,Yes,No,No,Unknown,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,170,750,,,,,,,,,,,,,,,,,,,
1813," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Arkhangelskaya Bay, Novaya Zemya",Russian Federation,Asia,75.87861,59.26056,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,200,,,,3150,,,,,,,,,,,,,,,,,,
1815," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Bezymyannaya bay, Novaya Zemlya",Russian Federation,Asia,72.92806,53.46778,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,11000,,,,,,,,,,,,,,,,,,,,,,
1821," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,Kola Peninsula,Russian Federation,Asia,67.33333,37,FALSE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Rubini Rock, Hooker Island, Franz Josef Land",Russian Federation,Asia,80.3,52.83333,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,,,,,,,,,,,,5000,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,
1832," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Vilkitski Bay, Novaya Zemlya",Russian Federation,Asia,70.76889,53.92139,FALSE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,,
1847," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,,"(Linnaeus, 1758)",Arctic jaeger / Parasitic jaeger / Arctic skua,"Kharlov Island, Murmansk Coast",Russian Federation,Asia,68.8075,37.34528,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,,,,,,,,,,7,,,,,,,,,,22,28,38,,,,20,,,,,,,,,,,,,,,,,,,
1877," Anker-Nilssen, T., V. Bakken, et al. (2000). The status of Marine birds breeding in the Barents sea region, Norsk Polarinstitutt: 140.",Aves,Charadriiformes,Laridae,Sterna,paradisaea,,"Pontoppidan, 1763",Arctic tern,"Oneshski Bay, White Sea, Russia",Russian Federation,Asia,64.99917,34.78,FALSE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,,,,,,,,,,,,,,10000,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,
1879," Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Laridae,Sterna,paradisaea,,"Pontoppidan, 1763",Arctic tern,"Seven Islands, Murmansk Coast, Russia",Russian Federation,Asia,68.8,37.43333,TRUE,Marine,Unknown,Arctic,Yes,No,No,Breeding pairs,Unknown,No,1400,500,600,150,250,150,400,250,200,450,300,2000,1000,500,500,500,700,,250,400,500,1700,500,,,,,,,,,,,,,,,,,,,,,,
1910," Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.| Krasnov, Y. V., R. T. Barrett, et al. (2007). Status of black-legged kittiwakes (Rissa tridactyla)", common guillemots (Uria aalge) and Brünnich’s guillemots (U. lomvia) in Murman, north-west Russia, and Varanger," north-east Norway."" Polar Research 26: 113-117.""",Aves,Charadriiformes,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Karlov Island, Murmansk, Russia",Russian Federation,Asia,68.81361,37.33639,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals,Population counts/survey,No,,,,,3000,2800,4100,4700,5200,5500,6100,,6400,4800,6000,6050,6800,4900,8200,7800,7200,1100,1000,1200,1200,2000,2200,1900,2900,3300,2400,3500,3300,5700,,,,,,,,,,,
1925," Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Bezymyannaya bay,Russian Federation,Asia,68.26333,38.93583,TRUE,Marine,Unknown,Arctic,Yes,No,No,individuals;,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,81000,,141000,,,,,,,,,,,,,,,,,,,,
1928," Krasnov, Y. V., G. G. Matishov, et al. (1995). Sea rookery birds of Murman. Spb..: Nauka: 224 pp.",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Kharlov Island,Russian Federation,Asia,68.81361,37.33639,TRUE,Marine,Unknown,Arctic,Yes,No,No,individuals;,Unknown,No,1150,1200,1900,2000,1900,1900,2100,,2050,1400,900,1100,1500,800,1200,1600,1500,900,1000,800,800,1100,1150,950,,,,,,,,,,,,,,,,,,,,,
2146," Scott, D. A. and P. M. Rose (1996). Atlas of Anatidae Populations in Africa and Western Eurasia. Wetlands International Publication No. 41, Wetlands International, Wageningen, The Netherlands, Wetlands International, Marijkeweg 11, 6700 CA Wageningen, The Netherlands. 41: 81 - 84.",Aves,Anseriformes,Anatidae,Polysticta,stelleri,,"(Pallas, 1769)",Steller's eider,Total species  ,"Russian Federation, United States",Asia,61.8225,104.89611,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals,Estimate,No,,500000,,,,,,,,,,,,,,,,,,,,,,,,175000,,,,,,,,,,,,,,,,,,,
2326," International Council for the Exploration of the Sea (2010). ICES advice on fish stocks. |  International Council for the Exploration of the Sea (2014). Capelin in Subareas I and II, excluding Division IIa west of 5°W (Barents Sea capelin). ICES Advice, Book 3.",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,Barents Sea,"Russian Federation, Norway, Finland",Asia,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,SSB (Thousand tonnes),Acoustic surveys in September,No,,,,33,,,253,22,,,,316,106,100,109,,,34,,84,92,643,302,293,139,60,60,85,94,382,599,626,496,427,94,122,72,189,330,517,504,487,504,479,389
2532," Michalsen, K. (2004). Havets ressurser 2004. Fisken og havet, særnr. 1-2004, Havforskningsinstituttet.| International Council for the Exploration of the Sea (2014). ICES advice for fish stocks (Cod in Subareas I and II - Northeast Arctic Cod). ICES Advice 2014.",Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,,"Linnaeus, 1758",Atlantic cod / Cod,Barentshavet,"Norway, Russian Federation",Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population estimate,Total biomass based on catch-at-age data using CPUE series.,No,2057698,1610969,1621485,2401955,2236387,2037430,1931396,1950748,1576565,1114380,863861,983656,750868,738666,817561,956772,1292252,1120019,913053,891080,963046,1560102,1909707,2355498,2148691,1814760,1700706,1525878,1220825,1097084,1107866,1393393,1593491,1814674,1590090,1588486,1552659,1918298,2616901,3223175,3454311,3559490,3545400,3672119,
2533," Michalsen, K. (2004). Havets ressurser 2004. Fisken og havet, særnr. 1-2004, Havforskningsinstituttet.",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,Barentshavet,"Norway, Russian Federation",Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population estimate,Unknown,No,,,,5810,6624,8735,6792,5461,5888,5562,6969,4287,3750,4230,2864,822,115,100,427,872,5834,7096,5150,796,199,193,502,909,2056,2775,4273,3630,2210,533,,,,,,,,,,,
2534,"Michalsen, K. (2004). Havets ressurser 2004. Fisken og havet, særnr. 1-2004, Havforskningsinstituttet.",Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,,"(Linnaeus, 1758)",Haddock,Barentshavet,"Norway, Russian Federation",Europe,74,36,FALSE,Marine,Unknown,Arctic,Yes,No,No,Population estimate,Unknown,No,309.815,377.234,873.771,840.583,708.146,525.492,295.144,239.061,261.537,321.622,259.331,194.309,121.501,64.424,53.078,138.577,285.191,241.716,162.015,123.081,121.977,155.317,232.036,459.304,540.693,491.478,422.388,307.995,197.235,190.4,167.265,257.664,307.72,398,414,,,,,,,,,,
4633," Derocher, A. E., G. W. Garner, et al. (1997). IUCN SSC Polar Bears. Proceedings of the Twelfth Working Meeting of the IUCN/SSC Polar Bear Specialist Group.",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,Wrangel Island State Nature Reserve,Russian Federation,Asia,71.18861,-179.715,TRUE,Marine,Unknown,Arctic,Yes,No,No,No of Polar bear dens/100km,aerial and ground transect surveys,No,,,,,,,,,,,,,4.1,9.9,6.5,5.1,2.9,3.4,2.9,2.2,4.9,4.4,5.1,,3.3,,,,,,,,,,,,,,,,,,,,
7999," Ivanova, T. S. and D. L. Lajus (2008). Vremennaya i prostranstvennaya izmenchivost’ trehigloi kolyushki v raione Keretskogo archipelago Kandalakshskogo zaliva Belogo morya."" Materialy Nauchnoi Konferentsii", posviaschennoi 70-letiyu Belomorskoi Biologicheskoi Stantsii MGU, Moscow," Grif i Ko: 267-270.""",Actinopterygii,Gasterosteiformes,Gasterosteidae,"Linnaeus, 1758",Three spined stickleback,"Gorelyi Island, Kandalaksha Bay, White Sea, Russia",Russian Federation,Asia,66.70861,33.27722,TRUE,Marine,Unknown,Arctic,Yes,No,No,Individuals per metre squared,unknown (text in Russian  but presumably some type of fishing method/ capture and release method),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,5.7,12.3,,,,,
8010," Ivanova, T. S. and D. L. Lajus (2008). Vremennaya i prostranstvennaya izmenchivost’ trehigloi kolyushki v raione Keretskogo archipelago Kandalakshskogo zaliva Belogo morya."" Materialy Nauchnoi Konferentsii", posviaschennoi 70-letiyu Belomorskoi Biologicheskoi Stantsii MGU, Moscow," Grif i Ko: 267-270.""",Actinopterygii,Gasterosteiformes,Gasterosteidae,"Linnaeus, 1758",Three spined stickleback,"Seldianaya Inlet, Kandalaksha Bay, White Sea, Russia",Russian Federation,Asia,66.70861,33.27722,TRUE,Marine,Unknown,Arctic,Yes,No,No,Individuals per metre squared,unknown (text in Russian  but presumably some type of fishing method/ capture and release method),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,17.8,,,,,
8011," Krasnov, Y. V., R. T. Barrett, et al. (2007). Status of black-legged kittiwakes (Rissa tridactyla)", common guillemots (Uria aalge) and Brünnich’s guillemots (U. lomvia) in Murman, north-west Russia, and Varanger," north-east Norway."" Polar Research 26: 113-117.""",Aves,Charadriiformes,"(Linnaeus, 1758)",Black-legged kittiwake,"Kharlov, Murman coast, North-West Russia",Russian Federation,Asia,68.81361,37.33639,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of breeding pairs,Count of occupied nests,No,,,,,18000,16000,17000,18000,21000,23000,24000,12000,13500,17000,18000,20000,21000,20000,24500,20000,29000,25000,21000,19000,21000,21000,20000,18500,20000,26000,19000,16000,22000,23000,,,,,,,,,,,
