Binomial	ID	year	popvalue
Fratercula_arctica	1656	1950	3000
Larus_canus	1706	1950	1800
Uria_aalge	1910	1954	2000
Uria_lomvia	1928	1954	950
Uria_aalge	1910	1956	1200
Uria_lomvia	1928	1956	250
Fratercula_arctica	1656	1957	3000
Fratercula_arctica	1656	1958	8300
Uria_aalge	1910	1958	2400
Uria_lomvia	1928	1958	400
Rissa_tridactyla	8011	1958	5000
Fratercula_arctica	1656	1959	8000
Sterna_paradisaea	1879	1959	100
Uria_aalge	1910	1959	1800
Uria_lomvia	1928	1959	750
Rissa_tridactyla	8011	1959	3000
Pollachius_virens	1529	1960	461852
Fratercula_arctica	1656	1960	8000
Larus_smithsonianus	1695	1960	1500
Larus_canus	1709	1960	480
Stercorarius_parasiticus	1847	1960	4
Sterna_paradisaea	1877	1960	9000
Sterna_paradisaea	1879	1960	500
Uria_aalge	1910	1960	1700
Uria_lomvia	1928	1960	800
Rissa_tridactyla	8011	1960	4000
Fratercula_arctica	8129	1960	100
Fratercula_arctica	8130	1960	271.4
Pollachius_virens	1529	1961	455887
Fratercula_arctica	1656	1961	8000
Pagophila_eburnea	1758	1961	200
Uria_aalge	1910	1961	2700
Uria_lomvia	1928	1961	1500
Rissa_tridactyla	8011	1961	8000
Fratercula_arctica	8130	1961	315.1
Pollachius_virens	1529	1962	460008
Fratercula_arctica	1656	1962	7000
Larus_canus	1706	1962	2000
Uria_aalge	1910	1962	2700
Uria_lomvia	1928	1962	1000
Rissa_tridactyla	8011	1962	2000
Pollachius_virens	1529	1963	455431
Fratercula_arctica	1656	1963	6000
Larus_canus	1706	1963	5000
Uria_aalge	1910	1963	3200
Uria_lomvia	1928	1963	800
Rissa_tridactyla	8011	1963	4000
Pollachius_virens	1529	1964	477825
Fratercula_arctica	1656	1964	3600
Larus_canus	1706	1964	4800
Uria_aalge	1910	1964	1400
Uria_lomvia	1928	1964	700
Rissa_tridactyla	8011	1964	4000
Pollachius_virens	1529	1965	515555
Fratercula_arctica	1656	1965	1700
Larus_canus	1706	1965	4300
Rissa_tridactyla	8011	1965	6000
Pollachius_virens	1529	1966	477825
Fratercula_arctica	1656	1966	1600
Larus_canus	1706	1966	5500
Uria_aalge	1910	1966	2100
Uria_lomvia	1928	1966	950
Rissa_tridactyla	8011	1966	10500
Pollachius_virens	1529	1967	490902
Fratercula_arctica	1656	1967	1600
Larus_canus	1706	1967	5800
Larus_hyperboreus	1716	1967	220
Rissa_tridactyla	1813	1967	2200
Rissa_tridactyla	1832	1967	54000
Uria_aalge	1910	1967	2100
Uria_lomvia	1928	1967	900
Rissa_tridactyla	8011	1967	11500
Pollachius_virens	1529	1968	471654
Fratercula_arctica	1656	1968	2500
Larus_canus	1706	1968	6500
Uria_aalge	1910	1968	2200
Uria_lomvia	1928	1968	1100
Rissa_tridactyla	8011	1968	8500
Fratercula_arctica	8130	1968	239.5
Pollachius_virens	1529	1969	511959
Fratercula_arctica	1656	1969	2500
Larus_smithsonianus	1695	1969	4500
Larus_canus	1706	1969	8000
Larus_canus	1709	1969	210
Sterna_paradisaea	1879	1969	3200
Uria_aalge	1910	1969	2400
Uria_lomvia	1928	1969	1000
Rissa_tridactyla	8011	1969	12000
Pollachius_virens	1529	1970	565802
Fratercula_arctica	1656	1970	2500
Larus_canus	1706	1970	8000
Larus_canus	1709	1970	430
Sterna_paradisaea	1879	1970	1400
Uria_aalge	1910	1970	3000
Uria_lomvia	1928	1970	1150
Rissa_tridactyla	8011	1970	18000
Fratercula_arctica	8129	1970	128.8
Pollachius_virens	1529	1971	554599
Fratercula_arctica	1656	1971	3000
Larus_canus	1706	1971	8000
Sterna_paradisaea	1879	1971	500
Uria_aalge	1910	1971	2800
Uria_lomvia	1928	1971	1200
Rissa_tridactyla	8011	1971	16000
Pollachius_virens	1529	1972	538208
Fratercula_arctica	1656	1972	3000
Larus_canus	1706	1972	8000
Sterna_paradisaea	1879	1972	600
Uria_aalge	1910	1972	4100
Uria_lomvia	1928	1972	1900
Rissa_tridactyla	8011	1972	17000
Pollachius_virens	1529	1973	537132
Fratercula_arctica	1656	1973	3000
Larus_canus	1706	1973	8000
Sterna_paradisaea	1879	1973	150
Uria_aalge	1910	1973	4700
Uria_lomvia	1928	1973	2000
Mallotus_villosus	2326	1973	33
Rissa_tridactyla	8011	1973	18000
Pollachius_virens	1529	1974	491885
Fratercula_arctica	1656	1974	2500
Larus_canus	1706	1974	9500
Sterna_paradisaea	1879	1974	250
Uria_aalge	1910	1974	5200
Uria_lomvia	1928	1974	1900
Rissa_tridactyla	8011	1974	21000
Calidris_pygmaea	8168	1974	95
Pollachius_virens	1529	1975	398714
Fratercula_arctica	1656	1975	2500
Larus_canus	1706	1975	7500
Larus_canus	1709	1975	200
Sterna_paradisaea	1879	1975	150
Uria_aalge	1910	1975	5500
Uria_lomvia	1928	1975	1900
Rissa_tridactyla	8011	1975	23000
Pollachius_virens	1529	1976	282943
Fratercula_arctica	1656	1976	3000
Larus_canus	1706	1976	8500
Larus_canus	1709	1976	220
Sterna_paradisaea	1879	1976	400
Uria_aalge	1910	1976	6100
Uria_lomvia	1928	1976	2100
Mallotus_villosus	2326	1976	253
Rissa_tridactyla	8011	1976	24000
Pollachius_virens	1529	1977	211293
Fratercula_arctica	1656	1977	2500
Larus_canus	1706	1977	8500
Sterna_paradisaea	1879	1977	250
Mallotus_villosus	2326	1977	22
Rissa_tridactyla	8011	1977	12000
Pollachius_virens	1529	1978	190613
Fratercula_arctica	1656	1978	2500
Larus_canus	1706	1978	8500
Larus_canus	1709	1978	100
Sterna_paradisaea	1879	1978	200
Uria_aalge	1910	1978	6400
Uria_lomvia	1928	1978	2050
Rissa_tridactyla	8011	1978	13500
Pollachius_virens	1529	1979	172129
Fratercula_arctica	1656	1979	2300
Larus_canus	1706	1979	7500
Larus_canus	1709	1979	80
Stercorarius_parasiticus	1847	1979	7
Sterna_paradisaea	1879	1979	450
Uria_aalge	1910	1979	4800
Uria_lomvia	1928	1979	1400
Rissa_tridactyla	8011	1979	17000
Pollachius_virens	1529	1980	152512
Fratercula_arctica	1656	1980	3200
Larus_canus	1706	1980	6500
Larus_canus	1709	1980	50
Sterna_paradisaea	1879	1980	300
Uria_aalge	1910	1980	6000
Uria_lomvia	1928	1980	900
Rissa_tridactyla	8011	1980	18000
Pollachius_virens	1529	1981	156373
Fratercula_arctica	1656	1981	3000
Larus_smithsonianus	1695	1981	3800
Larus_canus	1706	1981	6300
Larus_canus	1709	1981	80
Rissa_tridactyla	1826	1981	5000
Sterna_paradisaea	1879	1981	2000
Uria_aalge	1910	1981	6050
Uria_lomvia	1928	1981	1100
Mallotus_villosus	2326	1981	316
Rissa_tridactyla	8011	1981	20000
Pollachius_virens	1529	1982	137036
Fratercula_arctica	1656	1982	3000
Larus_smithsonianus	1695	1982	2000
Larus_canus	1706	1982	6000
Larus_canus	1709	1982	80
Sterna_paradisaea	1879	1982	1000
Uria_aalge	1910	1982	6800
Uria_lomvia	1928	1982	1500
Mallotus_villosus	2326	1982	106
Ursus_maritimus	4633	1982	4.1
Rissa_tridactyla	8011	1982	21000
Pollachius_virens	1529	1983	162267
Fratercula_arctica	1656	1983	3100
Larus_smithsonianus	1695	1983	2200
Larus_canus	1706	1983	6800
Larus_canus	1709	1983	130
Sterna_paradisaea	1877	1983	10000
Sterna_paradisaea	1879	1983	500
Uria_aalge	1910	1983	4900
Uria_lomvia	1928	1983	800
Mallotus_villosus	2326	1983	100
Ursus_maritimus	4633	1983	9.9
Rissa_tridactyla	8011	1983	20000
Pollachius_virens	1529	1984	146679
Fratercula_arctica	1656	1984	3100
Larus_smithsonianus	1695	1984	2100
Larus_canus	1706	1984	6600
Larus_canus	1709	1984	130
Sterna_paradisaea	1879	1984	500
Uria_aalge	1910	1984	8200
Uria_lomvia	1928	1984	1200
Mallotus_villosus	2326	1984	109
Ursus_maritimus	4633	1984	6.5
Rissa_tridactyla	8011	1984	24500
Pollachius_virens	1529	1985	112758
Fratercula_arctica	1656	1985	2400
Larus_smithsonianus	1695	1985	2080
Larus_canus	1706	1985	6600
Larus_canus	1709	1985	150
Sterna_paradisaea	1879	1985	500
Uria_aalge	1910	1985	7800
Uria_lomvia	1928	1985	1600
Ursus_maritimus	4633	1985	5.1
Rissa_tridactyla	8011	1985	20000
Pollachius_virens	1529	1986	85648
Fratercula_arctica	1656	1986	2300
Larus_smithsonianus	1695	1986	1300
Larus_canus	1706	1986	6000
Larus_canus	1709	1986	110
Sterna_paradisaea	1879	1986	700
Uria_aalge	1910	1986	7200
Uria_lomvia	1928	1986	1500
Ursus_maritimus	4633	1986	2.9
Rissa_tridactyla	8011	1986	29000
Fratercula_arctica	8129	1986	1376.1
Pollachius_virens	1529	1987	72693
Fratercula_arctica	1656	1987	2100
Larus_smithsonianus	1695	1987	1500
Larus_canus	1706	1987	2800
Larus_canus	1709	1987	90
Uria_aalge	1910	1987	1100
Uria_lomvia	1928	1987	900
Mallotus_villosus	2326	1987	34
Ursus_maritimus	4633	1987	3.4
Rissa_tridactyla	8011	1987	25000
Fratercula_arctica	8129	1987	1299.5
Calidris_pygmaea	8168	1987	48
Pollachius_virens	1529	1988	87553
Fratercula_arctica	1656	1988	2200
Larus_smithsonianus	1695	1988	1280
Larus_canus	1706	1988	3000
Larus_canus	1709	1988	150
Sterna_paradisaea	1879	1988	250
Uria_aalge	1910	1988	1000
Uria_lomvia	1928	1988	1000
Ursus_maritimus	4633	1988	2.9
Rissa_tridactyla	8011	1988	21000
Fratercula_arctica	8129	1988	1213.2
Pollachius_virens	1529	1989	100308
Fratercula_arctica	1656	1989	1400
Larus_smithsonianus	1695	1989	2200
Larus_canus	1706	1989	4000
Larus_canus	1709	1989	130
Stercorarius_parasiticus	1847	1989	22
Sterna_paradisaea	1879	1989	400
Uria_aalge	1910	1989	1200
Uria_lomvia	1928	1989	800
Mallotus_villosus	2326	1989	84
Ursus_maritimus	4633	1989	2.2
Rissa_tridactyla	8011	1989	19000
Fratercula_arctica	8129	1989	1145.7
Pollachius_virens	1529	1990	118184
Larus_smithsonianus	1695	1990	1500
Larus_canus	1709	1990	120
Stercorarius_parasiticus	1847	1990	28
Sterna_paradisaea	1879	1990	500
Uria_aalge	1910	1990	1200
Uria_lomvia	1928	1990	800
Mallotus_villosus	2326	1990	92
Ursus_maritimus	4633	1990	4.9
Rissa_tridactyla	8011	1990	21000
Fratercula_arctica	8129	1990	1107
Pollachius_virens	1529	1991	114921
Larus_smithsonianus	1695	1991	2000
Larus_canus	1709	1991	110
Rissa_tridactyla	1826	1991	5000
Stercorarius_parasiticus	1847	1991	38
Sterna_paradisaea	1879	1991	1700
Uria_aalge	1910	1991	2000
Uria_lomvia	1928	1991	1100
Mallotus_villosus	2326	1991	643
Ursus_maritimus	4633	1991	4.4
Rissa_tridactyla	8011	1991	21000
Fratercula_arctica	8129	1991	1186.2
Fratercula_arctica	8130	1991	337.3
Pollachius_virens	1529	1992	95225
Larus_smithsonianus	1695	1992	1100
Larus_canus	1709	1992	140
Larus_hyperboreus	1716	1992	1000
Rissa_tridactyla	1813	1992	200
Rissa_tridactyla	1815	1992	11000
Rissa_tridactyla	1832	1992	4300
Sterna_paradisaea	1877	1992	10000
Sterna_paradisaea	1879	1992	500
Uria_aalge	1910	1992	2200
Uria_lomvia	1925	1992	81000
Uria_lomvia	1928	1992	1150
Mallotus_villosus	2326	1992	302
Ursus_maritimus	4633	1992	5.1
Rissa_tridactyla	8011	1992	20000
Fratercula_arctica	8129	1992	1300.6
Fratercula_arctica	8130	1992	417.2
Pollachius_virens	1529	1993	97538
Larus_smithsonianus	1695	1993	1300
Larus_canus	1709	1993	90
Uria_aalge	1910	1993	1900
Uria_lomvia	1928	1993	950
Mallotus_villosus	2326	1993	293
Rissa_tridactyla	8011	1993	18500
Polysticta_stelleri	8124	1993	1
Fratercula_arctica	8129	1993	1425.9
Fratercula_arctica	8130	1993	462.7
Stercorarius_pomarinus	8144	1993	0
Pollachius_virens	1529	1994	148005
Pagophila_eburnea	1758	1994	170
