population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1656,1,0.0221909011717458,0.0272465226154037,-0.0088018656112836,-0.0396030059552133,-0.0202663114085677,0.013186165040902,0.00599115450640486,-0.0219814733158405,-0.0097931411173926,0.0406213331370977,0.0611234267978182,0.0195412055933026,-0.0344411315301465,-0.0452320746261812,-0.0254994561210524,-0.0231034788263313,-0.0484597678829761,-0.0732613070463946,-0.0814986294713251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8129,1,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,-0.0248737110146138,-0.0298438821984055,-0.0248614885456457,-0.0149232922142573,0.0300102988185933,0.0399858299745635,0.0399453193425412,-0.0448143307841256,0.0499614951826088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8130,1,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.0923279585652921,0.0449551997454036,-0.044747054770462,0.00248998951694679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1706,1,0.0211319361437607,0.01457182697711,0.00903814874111397,0.00388909710454266,-0.00110541562563249,-0.00566768476607615,-0.00968013350159991,-0.0134109735682664,-0.0169068846866955,-0.0195990689819454,-0.0210682204054775,-0.0222327022345064,-0.0252199926590237,-0.0314640693289676,-0.0398372968273599,-0.047065413328601,-0.0504252722094418,-0.0501315825028721,-0.0488532424371266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1709,1,0.00185562371474912,-0.00211401361072783,-0.0149600066539124,-0.036682355414809,-0.067281059893407,-0.103665314852194,-0.129968317360845,-0.129084934260898,-0.0977532602890008,-0.04034028517039,0.0243590597770804,0.0698542135174776,0.0787706665251702,0.054712965024541,0.0189979702135687,-0.00528951683419621,-0.00883525991198697,0.000592202274471099,0.00767502017218424,0.00239311752285509,-0.0139073864525758,-0.0318666878080331,-0.0423834334216715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1910,1,0.0653015784066127,0.0814265050440155,0.0759265757311005,0.056801019109328,0.036597723112727,0.0171297235082442,-0.000256786997203218,-0.0081626068353593,-0.0059651917044059,0.000511567548089786,0.00867293424086801,0.0259957532610278,0.0483505405675926,0.0348324020086248,-0.0602289381200816,-0.209749136098175,-0.299224168428854,-0.233408810411852,-0.0530717885128098,0.0965076188621006,0.122866363597793,0.0730027894924632,0.0441534498529639,0.0539214413223448,0.0490338867569582,0.0172324667945993,0.0171202538969513,0.0799754931644108,0.146901511307284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1928,1,0.0803153248401069,0.086492248115507,0.0543541288461222,0.0200770543254847,0.00983849942583559,0.00710701998637919,-0.015119262121944,-0.0537989628612499,-0.0946317674827117,-0.0903250566160723,-0.0409030827735251,0.00831474842189106,0.0303620027102571,0.0354185906028706,0.0292187655122356,-0.00521389862901778,-0.0638711206371916,-0.0939434852587606,-0.0501882630589652,0.0325519456172025,0.0672656957874325,0.0232744760315029,-0.0345142567588947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1925,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120367046888365,0.120367046888365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8011,1,0.0477295056446199,0.0347073335737047,0.0230166505493186,0.0112401301635794,-0.00184161348128331,-0.0125568524832991,-0.0149908330325923,-0.00778690334475751,0.00412871092293088,0.0144754991567195,0.0203535670848165,0.022208047167446,0.0212956980866892,0.0181895649633708,0.0128106294526038,0.0052420367581103,-0.00315914527930605,-0.00967618742072052,-0.0121816896484024,-0.0111303751761787,-0.00869260805213923,-0.00614355420328216,-0.00339626691361072,-0.000844048114839069,0.000437758838311098,0.00094210051964172,0.00300309846028046,0.00730489933867684,0.010960029013761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1813,1,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063286,-0.0416557074063295,-0.0416557074063286,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063286,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,-0.0416557074063286,-0.0416557074063291,-0.0416557074063291,-0.0416557074063291,0.299320139531405,0.299320139531405,0.299320139531404,0.299320139531405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
