Binomial	ID	year	popvalue
Pollachius_virens	1529	1960	461852
Pollachius_virens	1529	1961	455887
Pollachius_virens	1529	1962	460008
Pollachius_virens	1529	1963	455431
Pollachius_virens	1529	1964	477825
Pollachius_virens	1529	1965	515555
Phalaropus_fulicarius	1792	1965	50
Pollachius_virens	1529	1966	477825
Pollachius_virens	1529	1967	490902
Pollachius_virens	1529	1968	471654
Pollachius_virens	1529	1969	511959
Pollachius_virens	1529	1970	565802
Rissa_tridactyla	1814	1970	1e+05
Uria_aalge	1905	1970	310000
Pollachius_virens	1529	1971	554599
Pollachius_virens	1529	1972	538208
Pollachius_virens	1529	1973	537132
Mallotus_villosus	2326	1973	33
Pollachius_virens	1529	1974	491885
Pollachius_virens	1529	1975	398714
Pollachius_virens	1529	1976	282943
Mallotus_villosus	2326	1976	253
Pollachius_virens	1529	1977	211293
Mallotus_villosus	2326	1977	22
Pollachius_virens	1529	1978	190613
Pollachius_virens	1529	1979	172129
Pollachius_virens	1529	1980	152512
Phalaropus_fulicarius	1793	1980	22
Pollachius_virens	1529	1981	156373
Mallotus_villosus	2326	1981	316
Somateria_mollissima	12011	1981	2993
Pollachius_virens	1529	1982	137036
Mallotus_villosus	2326	1982	106
Somateria_mollissima	12011	1982	4947
Pollachius_virens	1529	1983	162267
Mallotus_villosus	2326	1983	100
Somateria_mollissima	12011	1983	4909
Pollachius_virens	1529	1984	146679
Mallotus_villosus	2326	1984	109
Somateria_mollissima	12011	1984	5098
Pollachius_virens	1529	1985	112758
Uria_lomvia	1929	1985	145000
Somateria_mollissima	12011	1985	5068
Pollachius_virens	1529	1986	85648
Uria_aalge	1905	1986	245000
Boreogadus_saida	2528	1986	308.8
Sebastes_mentella	8074	1986	1293.18
Somateria_mollissima	12011	1986	4024
Pollachius_virens	1529	1987	72693
Uria_aalge	1905	1987	36000
Mallotus_villosus	2326	1987	34
Boreogadus_saida	2528	1987	382.8
Sebastes_mentella	8074	1987	652.67
Somateria_mollissima	12011	1987	5350
Pollachius_virens	1529	1988	87553
Uria_aalge	1905	1988	80000
Boreogadus_saida	2528	1988	86
Sebastes_mentella	8074	1988	1292.57
Pollachius_virens	1529	1989	100308
Uria_aalge	1905	1989	90000
Uria_lomvia	1929	1989	171000
